seconden,ultrafijnstof
0,"15,859"
5,"20,717"
10,"16,176"
15,"12,939"
20,"11,530"
25,"13,006"
30,"14,334"
35,"13,324"
40,"16,772"
45,"16,619"
50,"10,962"
55,"14,319"
60,"15,988"
65,"14,204"
70,"14,545"
75,"15,647"
80,"15,084"
85,"14,291"
90,"13,824"
95,"12,314"
100,"12,362"
105,"12,434"
110,"12,583"
115,"11,924"
120,"13,430"
125,"23,247"
130,"18,403"
135,"29,904"
140,"26,936"
145,"18,874"
150,"17,253"
155,"79,216"
160,"184,584"
165,"66,522"
170,"29,557"
175,"28,778"
180,"28,033"
185,"33,088"
190,"14,483"
195,"11,664"
200,"10,847"
205,"10,712"
210,"12,790"
215,"16,248"
220,"17,076"
225,"16,441"
230,"16,724"
235,"18,802"
240,"17,917"
245,"18,822"
250,"19,293"
255,"15,503"
260,"16,215"
265,"5,200"
270,"6,407"
275,"6,854"
280,"6,724"
285,"8,754"
290,"10,582"
295,"7,051"
300,"6,147"
305,"10,221"
310,"11,467"
315,"8,490"
320,"8,461"
325,"8,802"
330,"7,552"
335,"8,336"
340,"8,663"
345,"8,913"
350,"10,986"
355,"10,991"
360,"14,887"
365,"8,797"
370,"7,845"
375,"9,336"
380,"8,605"
385,"9,899"
390,"8,114"
395,"8,230"
400,"6,907"
405,"8,177"
410,"8,288"
415,"8,153"
420,"17,898"
425,"12,698"
430,"19,995"
435,"16,340"
440,"21,477"
445,"25,705"
450,"38,023"
455,"22,631"
460,"27,518"
465,"10,837"
470,"7,965"
475,"8,341"
480,"1,948"
485,"8,110"
490,"12,039"
495,"14,584"
500,"12,684"
505,"10,856"
510,"7,619"
515,"5,051"
520,"6,402"
525,"6,484"
530,"7,532"
535,"3,569"
540,"2,905"
545,568
550,"7,763"
555,"12,203"
560,"16,821"
565,"14,541"
570,"13,886"
575,"9,788"
580,"19,702"
585,"10,289"
590,"7,576"
595,"7,648"
600,"6,849"
605,"13,189"
610,"17,326"
615,"13,463"
620,"13,126"
625,"29,259"
630,"5,339"
635,"3,045"
640,"10,014"
645,"19,519"
650,"26,575"
655,"24,262"
660,"10,909"
665,"6,008"
670,"14,088"
675,"12,617"
680,"7,124"
685,"10,370"
690,"13,891"
695,"13,165"
700,"21,895"
705,"19,615"
710,"17,302"
715,"29,346"
720,"46,715"
725,"182,607"
730,"94,300"
735,"54,771"
740,"22,708"
745,"25,613"
750,"21,607"
755,"19,072"
760,"26,840"
765,"24,723"
770,"20,418"
775,"17,056"
780,"18,898"
785,"21,967"
790,"15,277"
795,"18,427"
800,"20,481"
805,"18,745"
810,"18,600"
815,"13,252"
820,"10,173"
825,"11,457"
830,"12,852"
835,"16,623"
840,"11,068"
845,"11,534"
850,"14,262"
855,"16,614"
860,"11,198"
865,"13,112"
870,"14,772"
875,"27,330"
880,"38,475"
885,"34,204"
890,"14,372"
895,"13,742"
900,"14,209"
905,"19,408"
910,"16,070"
915,"16,421"
920,"21,068"
925,"46,027"
930,"26,772"
935,"27,032"
940,"27,369"
945,"23,420"
950,"16,878"
955,"22,131"
960,"20,635"
965,"18,374"
970,"21,784"
975,"20,924"
980,"17,234"
985,"11,419"
990,"10,919"
995,"11,169"
1000,"12,285"
1005,"9,851"
1010,"8,889"
1015,"8,696"
1020,"8,009"
1025,"9,105"
